name,time,Det-1,Det-2,Det-3,Det-4,Actual-1,Actual-2,Actual-3,Actual-4
img_cls_0_vgg16.jpg,2.637596607,1,1,1,0,1,1,1,1
img_cls_1_vgg16.jpg,0.616765022,1,1,1,0,1,1,1,1
img_cls_2_vgg16.jpg,0.485389471,1,1,1,0,1,1,1,1
img_cls_3_vgg16.jpg,0.480333567,1,1,1,0,1,1,1,1
img_cls_4_vgg16.jpg,0.478992939,1,1,1,0,1,1,1,1
img_cls_5_vgg16.jpg,0.526006699,0,1,1,0,1,1,1,1
img_cls_6_vgg16.jpg,0.476489067,1,1,1,0,1,1,1,1
img_cls_7_vgg16.jpg,0.50153017,1,1,1,0,1,1,1,1
img_cls_8_vgg16.jpg,0.4769032,0,1,1,0,1,0,1,1
img_cls_9_vgg16.jpg,0.480246067,1,1,1,1,1,0,1,1
img_cls_10_vgg16.jpg,0.481149435,0,1,1,0,1,0,1,1
img_cls_11_vgg16.jpg,0.482363701,0,1,1,0,1,0,1,1
img_cls_12_vgg16.jpg,0.471226454,0,1,1,0,1,0,1,1
img_cls_13_vgg16.jpg,0.480103254,1,1,1,0,1,0,1,1
img_cls_14_vgg16.jpg,0.799045801,1,1,1,1,1,0,1,1
img_cls_15_vgg16.jpg,0.481632233,1,1,1,1,1,0,1,0
img_cls_16_vgg16.jpg,0.694138288,1,1,1,1,1,0,1,0
img_cls_17_vgg16.jpg,1.374369144,0,1,1,0,1,0,1,0
img_cls_18_vgg16.jpg,0.564316273,1,1,1,1,1,0,1,0
img_cls_19_vgg16.jpg,0.500192404,1,1,1,1,1,0,1,0
img_cls_20_vgg16.jpg,0.485509396,0,1,1,0,1,0,1,0
img_cls_21_vgg16.jpg,0.480046988,1,1,1,1,1,0,1,0
img_cls_22_vgg16.jpg,0.495448112,1,1,0,0,1,0,1,0
img_cls_23_vgg16.jpg,0.473411083,1,1,1,1,1,0,1,0
img_cls_24_vgg16.jpg,0.474912405,0,1,1,0,1,0,1,0
img_cls_25_vgg16.jpg,0.477182627,0,1,1,1,1,0,1,0
img_cls_26_vgg16.jpg,0.474759102,1,1,1,1,1,0,1,0
img_cls_27_vgg16.jpg,0.469855785,0,1,0,1,1,0,1,0
img_cls_28_vgg16.jpg,0.484371424,1,1,1,1,1,0,1,0
img_cls_29_vgg16.jpg,0.465191126,0,1,0,1,1,0,1,0
img_cls_30_vgg16.jpg,0.460828781,1,1,1,1,1,0,1,0
img_cls_31_vgg16.jpg,0.479358673,1,1,1,1,1,0,1,0
img_cls_32_vgg16.jpg,0.468546629,1,1,1,1,1,0,1,0
img_cls_33_vgg16.jpg,0.47317028,1,1,1,1,1,0,1,0
img_cls_34_vgg16.jpg,0.480687141,1,1,1,1,1,0,1,0
img_cls_35_vgg16.jpg,0.478014231,1,1,0,1,1,0,1,0
img_cls_36_vgg16.jpg,0.46682477,1,1,1,0,1,0,1,0
img_cls_37_vgg16.jpg,0.485548496,0,1,1,0,1,0,1,0
img_cls_38_vgg16.jpg,0.474351168,1,0,0,1,1,0,1,0
img_cls_39_vgg16.jpg,0.501493454,1,1,0,1,1,0,1,0
img_cls_40_vgg16.jpg,0.472584248,1,1,1,1,1,0,1,0
img_cls_41_vgg16.jpg,0.476835012,1,1,1,1,1,0,1,0
img_cls_42_vgg16.jpg,0.515901327,1,1,0,1,1,0,1,0
img_cls_43_vgg16.jpg,0.524834633,1,1,1,1,1,0,1,0
img_cls_44_vgg16.jpg,0.473793745,1,1,1,1,1,0,1,0
img_cls_45_vgg16.jpg,0.474964857,1,1,1,1,1,0,1,0
img_cls_46_vgg16.jpg,0.471066475,1,1,1,1,1,0,1,0
img_cls_47_vgg16.jpg,0.486181974,1,1,1,1,1,0,1,0
img_cls_48_vgg16.jpg,0.494775295,1,1,1,1,1,0,1,0
img_cls_49_vgg16.jpg,0.479410648,1,1,1,1,1,0,1,0
img_cls_50_vgg16.jpg,0.484431982,0,1,1,1,1,0,1,0
img_cls_51_vgg16.jpg,0.514436007,0,1,0,1,1,0,1,0
img_cls_52_vgg16.jpg,0.475797892,1,1,0,1,1,0,1,0
img_cls_53_vgg16.jpg,0.465452433,0,1,1,1,1,0,1,0
img_cls_54_vgg16.jpg,0.469567776,1,1,1,1,1,0,1,0
img_cls_55_vgg16.jpg,0.484245539,0,1,0,1,1,0,1,0
img_cls_56_vgg16.jpg,0.479818344,1,1,1,1,1,0,1,0
img_cls_57_vgg16.jpg,0.493255377,1,1,0,1,1,0,1,0
img_cls_58_vgg16.jpg,0.463150978,1,1,1,1,1,0,1,0
img_cls_59_vgg16.jpg,0.520255089,1,1,1,1,1,0,1,0
img_cls_60_vgg16.jpg,0.472329378,1,1,1,1,1,0,1,0
img_cls_61_vgg16.jpg,0.484362364,1,1,0,1,1,0,1,0
img_cls_62_vgg16.jpg,0.474885941,1,0,0,1,1,0,1,0
img_cls_63_vgg16.jpg,0.492035866,0,1,1,0,1,0,1,0
img_cls_64_vgg16.jpg,0.475310087,1,1,1,1,1,0,1,0
img_cls_65_vgg16.jpg,0.480613708,1,1,1,1,1,0,1,0
img_cls_66_vgg16.jpg,0.47949338,0,1,0,0,1,0,1,0
img_cls_67_vgg16.jpg,0.505319834,0,1,1,1,1,0,1,0
img_cls_68_vgg16.jpg,0.473811865,1,1,1,1,1,0,1,0
img_cls_69_vgg16.jpg,0.484211683,1,1,1,1,1,0,1,0
img_cls_70_vgg16.jpg,0.468767166,1,1,0,1,1,0,1,0
img_cls_71_vgg16.jpg,0.47911191,0,1,1,1,1,0,1,0
img_cls_72_vgg16.jpg,0.469714403,1,1,1,1,1,0,1,0
img_cls_73_vgg16.jpg,0.493699312,1,1,0,1,1,0,1,0
img_cls_74_vgg16.jpg,0.512298346,1,1,1,1,1,0,1,0
img_cls_75_vgg16.jpg,0.506443262,1,1,1,1,1,0,1,0
img_cls_76_vgg16.jpg,0.475028753,1,1,1,1,1,0,1,0
img_cls_77_vgg16.jpg,0.500416517,0,1,1,1,1,0,1,0
img_cls_78_vgg16.jpg,0.471041203,0,1,0,1,1,0,1,0
img_cls_79_vgg16.jpg,0.485352755,0,1,1,1,1,0,1,0
img_cls_80_vgg16.jpg,0.476959229,1,1,0,1,1,1,1,0
img_cls_81_vgg16.jpg,0.487884521,1,1,1,1,1,1,1,0
img_cls_82_vgg16.jpg,0.475870371,1,1,1,1,1,1,1,0
img_cls_83_vgg16.jpg,0.477501392,0,1,0,1,1,1,1,0
img_cls_84_vgg16.jpg,0.494922876,1,1,0,1,1,1,1,0
img_cls_85_vgg16.jpg,0.484322309,1,1,1,1,1,1,1,0
img_cls_86_vgg16.jpg,0.480072498,0,1,1,1,1,1,1,0
img_cls_87_vgg16.jpg,0.472967148,1,1,0,1,1,1,1,0
img_cls_88_vgg16.jpg,0.480777979,0,1,1,1,1,1,1,0
img_cls_89_vgg16.jpg,0.469986677,0,1,1,0,1,1,1,0
img_cls_90_vgg16.jpg,0.597851038,1,1,0,1,1,1,1,0
img_cls_91_vgg16.jpg,0.479954004,0,1,0,1,1,1,1,0
img_cls_92_vgg16.jpg,0.479419708,1,1,1,1,1,1,1,0
img_cls_93_vgg16.jpg,0.48589325,1,1,1,1,1,1,1,0
img_cls_94_vgg16.jpg,0.475382328,0,1,0,1,1,1,1,0
img_cls_95_vgg16.jpg,0.493438005,1,1,1,1,1,1,1,0
img_cls_96_vgg16.jpg,0.563704729,1,1,0,1,1,1,1,0
img_cls_97_vgg16.jpg,0.484825134,0,1,1,1,1,1,1,0
img_cls_98_vgg16.jpg,0.476504326,0,1,1,1,1,1,1,0
img_cls_99_vgg16.jpg,0.490242004,0,1,1,1,1,1,1,0
img_cls_100_vgg16.jpg,0.479307652,1,1,1,1,1,1,1,0
img_cls_101_vgg16.jpg,0.471621037,0,1,1,1,1,1,1,0
img_cls_102_vgg16.jpg,0.4800179,1,1,1,1,1,1,1,0
img_cls_103_vgg16.jpg,0.48098731,0,1,1,1,1,1,1,0
img_cls_104_vgg16.jpg,0.489253521,0,1,0,1,1,1,1,0
img_cls_105_vgg16.jpg,0.473192692,0,1,0,1,1,1,1,0
img_cls_106_vgg16.jpg,0.479611874,0,1,1,1,1,1,1,0
img_cls_107_vgg16.jpg,0.471694231,0,1,1,1,1,1,1,0
img_cls_108_vgg16.jpg,0.488665342,1,1,1,1,1,1,1,0
img_cls_109_vgg16.jpg,0.499562502,0,1,1,1,1,1,1,0
img_cls_110_vgg16.jpg,0.597276449,1,1,0,1,1,1,1,0
img_cls_111_vgg16.jpg,0.489994526,0,1,1,1,1,1,1,0
img_cls_112_vgg16.jpg,0.554278135,1,1,1,1,1,1,1,0
img_cls_113_vgg16.jpg,0.483784676,1,1,1,1,1,1,1,0
img_cls_114_vgg16.jpg,0.47641468,0,1,0,1,1,1,1,0
img_cls_115_vgg16.jpg,0.500494719,0,1,1,1,1,1,1,0
img_cls_116_vgg16.jpg,0.482370377,0,1,0,1,1,1,1,0
img_cls_117_vgg16.jpg,0.555140495,1,1,1,1,1,1,1,0
img_cls_118_vgg16.jpg,0.479184866,0,1,1,1,1,1,1,0
img_cls_119_vgg16.jpg,0.489896059,0,1,0,1,1,1,1,0
img_cls_120_vgg16.jpg,0.509633064,0,1,1,1,1,1,1,0
img_cls_121_vgg16.jpg,0.498368502,0,1,1,1,1,1,1,0
img_cls_122_vgg16.jpg,0.484475136,0,1,0,1,1,1,1,0
img_cls_123_vgg16.jpg,0.479959249,0,1,0,1,1,1,1,0
img_cls_124_vgg16.jpg,0.946564198,0,1,0,0,1,1,1,0
img_cls_125_vgg16.jpg,0.505016804,0,1,1,0,1,1,1,0
img_cls_126_vgg16.jpg,0.485114574,0,1,1,1,1,1,1,0
img_cls_127_vgg16.jpg,0.473353863,0,1,0,1,1,1,1,0
img_cls_128_vgg16.jpg,0.471098423,0,1,0,0,1,1,1,0
img_cls_129_vgg16.jpg,0.480121613,1,1,1,1,1,1,1,0
img_cls_130_vgg16.jpg,0.479581833,0,1,1,1,1,1,1,0
img_cls_131_vgg16.jpg,0.485314846,0,1,0,1,1,1,1,0
img_cls_132_vgg16.jpg,0.474766493,0,1,1,1,1,1,1,0
img_cls_133_vgg16.jpg,0.491304159,0,1,1,1,1,1,1,0
img_cls_134_vgg16.jpg,0.476916313,0,1,0,1,1,1,1,0
img_cls_135_vgg16.jpg,0.485180616,0,1,1,1,1,1,1,0
img_cls_136_vgg16.jpg,0.529102087,1,1,1,1,1,1,1,0
img_cls_137_vgg16.jpg,0.51163888,0,1,1,1,1,1,1,0
img_cls_138_vgg16.jpg,0.489900351,0,1,1,1,1,1,1,0
